LocationType,Location,TimeFrame,DataFormat,Data
State,Alaska,1990,Percent,0.048
State,Alaska,1991,Percent,0.047
State,Alaska,1992,Number,577
State,Alaska,1991,Number,544
State,Alaska,1993,Percent,0.049
State,Alaska,1992,Percent,0.049
State,Alaska,1993,Number,547
State,Alaska,1994,Number,588
State,Alaska,1995,Percent,0.053
State,Alaska,1994,Percent,0.055
State,Alaska,1996,Number,549
State,Alaska,1995,Number,545
State,Alaska,1996,Percent,0.055
State,Alaska,1997,Percent,0.059
State,Alaska,1997,Number,584
State,Alaska,1998,Number,593
State,Alaska,1999,Percent,0.058
State,Alaska,1998,Percent,0.06
State,Alaska,1999,Number,577
State,Alaska,2000,Number,558
State,Alaska,2000,Percent,0.056
State,Alaska,2001,Percent,0.057
State,Alaska,2002,Number,579
State,Alaska,2001,Number,566
State,Alaska,2002,Percent,0.058
State,Alaska,2003,Percent,0.06
State,Alaska,2003,Number,600
State,Alaska,2004,Number,618
State,Alaska,2005,Percent,0.061
State,Alaska,2005,Number,635
State,Alaska,2004,Percent,0.06
State,Alaska,2006,Number,654
State,Alaska,2006,Percent,0.06
State,Alaska,2007,Percent,0.057
State,Alaska,2008,Number,680
State,Alaska,2007,Number,623
State,Alaska,2008,Percent,0.06
State,Alaska,2013,Percent,0.058
State,Alaska,2018,Number,590
State,Alaska,2013,Number,658
State,Alaska,2009,Percent,0.059
State,Alaska,2018,Percent,0.059
State,Alaska,2009,Number,666
State,Alaska,2010,Number,651
State,Alaska,2010,Percent,0.057
State,Alaska,2015,Percent,0.058
State,Alaska,2015,Number,653
State,Alaska,2020,Number,626
State,Alaska,2011,Percent,0.06
State,Alaska,2020,Percent,0.066
State,Alaska,2012,Number,632
State,Alaska,2011,Number,690
State,Alaska,2012,Percent,0.057
State,Alaska,2014,Percent,0.059
State,Alaska,2014,Number,672
State,Alaska,2016,Number,661
State,Alaska,2017,Percent,0.062
State,Alaska,2016,Percent,0.059
State,Alaska,2019,Number,619
State,Alaska,2017,Number,647
State,Alaska,2019,Percent,0.063
State,Alaska,2021,Percent,0.069
State,Alaska,2021,Number,647
State,Arizona,2021,Number,6132
State,Arizona,2021,Percent,0.079
State,Arizona,2019,Percent,0.074
State,Arizona,2017,Number,6119
State,Arizona,2019,Number,5835
State,Arizona,2016,Percent,0.073
State,Arizona,2017,Percent,0.075
State,Arizona,2016,Number,6177
State,Arizona,2014,Number,6086
State,Arizona,2012,Percent,0.069
State,Arizona,2014,Percent,0.07
State,Arizona,2011,Number,5988
State,Arizona,2012,Number,5997
State,Arizona,2011,Percent,0.07
State,Arizona,2020,Percent,0.074
State,Arizona,2020,Number,5666
State,Arizona,2015,Number,6128
State,Arizona,2010,Percent,0.071
State,Arizona,2015,Percent,0.072
State,Arizona,2010,Number,6190
State,Arizona,2009,Number,6575
State,Arizona,2009,Percent,0.071
State,Arizona,2018,Percent,0.076
State,Arizona,2013,Number,5897
State,Arizona,2018,Number,6116
State,Arizona,2008,Percent,0.071
State,Arizona,2007,Number,7285
State,Arizona,2013,Percent,0.069
State,Arizona,2008,Number,7030
State,Arizona,2007,Percent,0.071
State,Arizona,2006,Percent,0.071
State,Arizona,2006,Number,7289
State,Arizona,2004,Percent,0.072
State,Arizona,2005,Number,6673
State,Arizona,2005,Percent,0.069
State,Arizona,2004,Number,6710
State,Arizona,2003,Number,6414
State,Arizona,2003,Percent,0.071
State,Arizona,2002,Percent,0.068
State,Arizona,2001,Number,5957
State,Arizona,2002,Number,5938
State,Arizona,2001,Percent,0.07
State,Arizona,2000,Percent,0.07
State,Arizona,2000,Number,5977
State,Arizona,1999,Number,5575
State,Arizona,1998,Percent,0.068
State,Arizona,1999,Percent,0.069
State,Arizona,1998,Number,5326
State,Arizona,1997,Number,5205
State,Arizona,1997,Percent,0.069
State,Arizona,1996,Percent,0.067
State,Arizona,1995,Number,4898
State,Arizona,1996,Number,5039
State,Arizona,1994,Percent,0.068
State,Arizona,1995,Percent,0.068
State,Arizona,1994,Number,4797
State,Arizona,1993,Number,4595
State,Arizona,1992,Percent,0.064
State,Arizona,1993,Percent,0.067
State,Arizona,1991,Number,4367
State,Arizona,1992,Number,4419
State,Arizona,1991,Percent,0.064
State,Arizona,1990,Percent,0.064
State,Arizona,1990,Number,4375
State,Arkansas,1990,Number,2986
State,Arkansas,1990,Percent,0.082
State,Arkansas,1991,Percent,0.082
State,Arkansas,1992,Number,2835
State,Arkansas,1991,Number,2904
State,Arkansas,1993,Percent,0.082
State,Arkansas,1992,Percent,0.082
State,Arkansas,1993,Number,2815
State,Arkansas,1994,Number,2833
State,Arkansas,1995,Percent,0.082
State,Arkansas,1994,Percent,0.082
State,Arkansas,1996,Number,3077
State,Arkansas,1995,Number,2879
State,Arkansas,1996,Percent,0.085
State,Arkansas,1997,Percent,0.084
State,Arkansas,1997,Number,3044
State,Arkansas,1998,Number,3271
State,Arkansas,1999,Percent,0.086
State,Arkansas,1998,Percent,0.089
State,Arkansas,1999,Number,3161
State,Arkansas,2000,Number,3234
State,Arkansas,2000,Percent,0.086
State,Arkansas,2001,Percent,0.088
State,Arkansas,2002,Number,3204
State,Arkansas,2001,Number,3250
State,Arkansas,2002,Percent,0.086
State,Arkansas,2003,Percent,0.089
State,Arkansas,2003,Number,3348
State,Arkansas,2004,Number,3593
State,Arkansas,2005,Percent,0.089
State,Arkansas,2005,Number,3498
State,Arkansas,2004,Percent,0.093
State,Arkansas,2006,Number,3749
State,Arkansas,2006,Percent,0.092
State,Arkansas,2007,Percent,0.091
State,Arkansas,2008,Number,3757
State,Arkansas,2007,Number,3780
State,Arkansas,2008,Percent,0.092
State,Arkansas,2013,Percent,0.088
State,Arkansas,2018,Number,3465
State,Arkansas,2013,Number,3312
State,Arkansas,2018,Percent,0.094
State,Arkansas,2009,Percent,0.089
State,Arkansas,2009,Number,3546
State,Arkansas,2010,Number,3391
State,Arkansas,2015,Percent,0.092
State,Arkansas,2010,Percent,0.088
State,Arkansas,2015,Number,3564
State,Arkansas,2020,Number,3388
State,Arkansas,2020,Percent,0.096
State,Arkansas,2011,Percent,0.091
State,Arkansas,2012,Number,3332
State,Arkansas,2011,Number,3516
State,Arkansas,2012,Percent,0.087
State,Arkansas,2014,Percent,0.089
State,Arkansas,2014,Number,3432
State,Arkansas,2016,Number,3361
State,Arkansas,2017,Percent,0.093
State,Arkansas,2016,Percent,0.088
State,Arkansas,2019,Number,3380
State,Arkansas,2017,Number,3477
State,Arkansas,2019,Percent,0.092
State,Arkansas,2021,Percent,0.095
State,Arkansas,2021,Number,3422
State,California,2021,Number,30605
State,California,2021,Percent,0.073
State,California,2019,Percent,0.071
State,California,2017,Number,32451
State,California,2019,Number,31699
State,California,2016,Percent,0.068
State,California,2017,Percent,0.069
State,California,2016,Number,33476
State,California,2014,Number,33586
State,California,2012,Percent,0.067
State,California,2014,Percent,0.067
State,California,2011,Number,33946
State,California,2012,Number,33655
State,California,2011,Percent,0.068
State,California,2020,Percent,0.069
State,California,2020,Number,29061
State,California,2015,Number,33666
State,California,2010,Percent,0.068
State,California,2015,Percent,0.068
State,California,2010,Number,34641
State,California,2009,Number,35802
State,California,2009,Percent,0.068
State,California,2018,Percent,0.07
State,California,2013,Number,33753
State,California,2018,Number,31745
State,California,2008,Percent,0.068
State,California,2007,Number,38887
State,California,2013,Percent,0.068
State,California,2008,Number,37598
State,California,2007,Percent,0.069
State,California,2006,Percent,0.068
State,California,2006,Number,38411
State,California,2004,Percent,0.067
State,California,2005,Number,37630
State,California,2005,Percent,0.069
State,California,2004,Number,36454
State,California,2003,Number,35628
State,California,2003,Percent,0.066
State,California,2001,Number,33228
State,California,2002,Percent,0.064
State,California,2002,Number,33824
State,California,2001,Percent,0.063
State,California,2000,Percent,0.062
State,California,2000,Number,32912
State,California,1999,Number,31714
State,California,1998,Percent,0.062
State,California,1999,Percent,0.061
State,California,1998,Number,32476
State,California,1997,Number,32301
State,California,1997,Percent,0.062
State,California,1996,Percent,0.061
State,California,1995,Number,33636
State,California,1996,Number,32729
State,California,1995,Percent,0.061
State,California,1994,Percent,0.062
State,California,1994,Number,34937
State,California,1993,Number,35163
State,California,1992,Percent,0.059
State,California,1993,Percent,0.06
State,California,1991,Number,35465
State,California,1992,Number,35704
State,California,1991,Percent,0.058
State,California,1990,Percent,0.058
State,California,1990,Number,35558
State,Colorado,1990,Number,4283
State,Colorado,1990,Percent,0.08
State,Colorado,1991,Percent,0.082
State,Colorado,1992,Number,4632
State,Colorado,1991,Number,4409
State,Colorado,1993,Percent,0.084
State,Colorado,1992,Percent,0.085
State,Colorado,1993,Number,4533
State,Colorado,1994,Number,4617
State,Colorado,1994,Percent,0.085
State,Colorado,1995,Percent,0.084
State,Colorado,1996,Number,4906
State,Colorado,1995,Number,4584
State,Colorado,1996,Percent,0.088
State,Colorado,1997,Percent,0.088
State,Colorado,1997,Number,5000
State,Colorado,1998,Number,5138
State,Colorado,1999,Percent,0.083
State,Colorado,1998,Percent,0.086
State,Colorado,1999,Number,5184
State,Colorado,2000,Number,5488
State,Colorado,2000,Percent,0.084
State,Colorado,2001,Percent,0.085
State,Colorado,2002,Number,6067
State,Colorado,2002,Percent,0.089
State,Colorado,2001,Number,5720
State,Colorado,2003,Percent,0.09
State,Colorado,2003,Number,6224
State,Colorado,2004,Number,6130
State,Colorado,2005,Percent,0.092
State,Colorado,2005,Number,6325
State,Colorado,2004,Percent,0.09
State,Colorado,2006,Number,6317
State,Colorado,2006,Percent,0.089
State,Colorado,2007,Percent,0.09
State,Colorado,2008,Number,6243
State,Colorado,2013,Percent,0.088
State,Colorado,2007,Number,6382
State,Colorado,2008,Percent,0.089
State,Colorado,2018,Number,5906
State,Colorado,2013,Number,5718
State,Colorado,2018,Percent,0.094
State,Colorado,2009,Number,6007
State,Colorado,2010,Number,5811
State,Colorado,2009,Percent,0.088
State,Colorado,2015,Percent,0.09
State,Colorado,2010,Percent,0.088
State,Colorado,2015,Number,6001
State,Colorado,2020,Number,5670
State,Colorado,2020,Percent,0.093
State,Colorado,2011,Percent,0.087
State,Colorado,2012,Number,5749
State,Colorado,2011,Number,5640
State,Colorado,2012,Percent,0.088
State,Colorado,2014,Percent,0.088
State,Colorado,2014,Number,5769
State,Colorado,2016,Number,5961
State,Colorado,2017,Percent,0.091
State,Colorado,2016,Percent,0.09
State,Colorado,2019,Number,5911
State,Colorado,2017,Number,5848
State,Colorado,2019,Percent,0.094
State,Colorado,2021,Percent,0.095
State,Colorado,2021,Number,5939
State,Connecticut,2021,Percent,0.081
State,Connecticut,2019,Percent,0.078
State,Connecticut,2021,Number,2906
State,Connecticut,2017,Number,2845
State,Connecticut,2019,Number,2657
State,Connecticut,2016,Percent,0.078
State,Connecticut,2017,Percent,0.081
State,Connecticut,2016,Number,2813
State,Connecticut,2014,Number,2763
State,Connecticut,2014,Percent,0.076
State,Connecticut,2012,Percent,0.079
State,Connecticut,2011,Number,2883
State,Connecticut,2012,Number,2868
State,Connecticut,2011,Percent,0.077
State,Connecticut,2020,Percent,0.078
State,Connecticut,2020,Number,2623
State,Connecticut,2015,Number,2836
State,Connecticut,2010,Percent,0.08
State,Connecticut,2015,Percent,0.079
State,Connecticut,2009,Percent,0.08
State,Connecticut,2010,Number,3011
State,Connecticut,2009,Number,3127
State,Connecticut,2018,Percent,0.076
State,Connecticut,2013,Number,2820
State,Connecticut,2018,Number,2641
State,Connecticut,2008,Percent,0.08
State,Connecticut,2007,Number,3366
State,Connecticut,2013,Percent,0.078
State,Connecticut,2008,Number,3237
State,Connecticut,2007,Percent,0.081
State,Connecticut,2006,Percent,0.081
State,Connecticut,2006,Number,3395
State,Connecticut,2004,Percent,0.078
State,Connecticut,2005,Number,3317
State,Connecticut,2005,Percent,0.08
State,Connecticut,2004,Number,3273
State,Connecticut,2003,Number,3218
State,Connecticut,2003,Percent,0.075
State,Connecticut,2001,Number,3143
State,Connecticut,2002,Percent,0.078
State,Connecticut,2002,Number,3258
State,Connecticut,2001,Percent,0.074
State,Connecticut,2000,Percent,0.074
State,Connecticut,2000,Number,3199
State,Connecticut,1999,Number,3294
State,Connecticut,1998,Percent,0.078
State,Connecticut,1999,Percent,0.076
State,Connecticut,1998,Number,3406
State,Connecticut,1997,Number,3145
State,Connecticut,1997,Percent,0.073
State,Connecticut,1996,Percent,0.072
State,Connecticut,1995,Number,3159
State,Connecticut,1996,Number,3203
State,Connecticut,1995,Percent,0.071
State,Connecticut,1994,Percent,0.069
State,Connecticut,1994,Number,3146
State,Connecticut,1993,Number,3207
State,Connecticut,1992,Percent,0.069
State,Connecticut,1993,Percent,0.069
State,Connecticut,1991,Number,3352
State,Connecticut,1992,Number,3264
State,Connecticut,1991,Percent,0.069
State,Connecticut,1990,Percent,0.066
State,Connecticut,1990,Number,3309
State,Delaware,1990,Number,849
State,Delaware,1990,Percent,0.076
State,Delaware,1991,Percent,0.079
State,Delaware,1992,Number,806
State,Delaware,1991,Number,882
State,Delaware,1993,Percent,0.078
State,Delaware,1992,Percent,0.076
State,Delaware,1993,Number,827
State,Delaware,1994,Number,770
State,Delaware,1994,Percent,0.074
State,Delaware,1995,Percent,0.084
State,Delaware,1996,Number,863
State,Delaware,1995,Number,861
State,Delaware,1996,Percent,0.085
State,Delaware,1997,Percent,0.087
State,Delaware,1997,Number,895
State,Delaware,1998,Number,885
State,Delaware,1999,Percent,0.086
State,Delaware,1998,Percent,0.084
State,Delaware,1999,Number,918
State,Delaware,2000,Number,955
State,Delaware,2000,Percent,0.086
State,Delaware,2001,Percent,0.093
State,Delaware,2002,Number,1102
State,Delaware,2002,Percent,0.099
State,Delaware,2001,Number,996
State,Delaware,2003,Percent,0.094
State,Delaware,2003,Number,1068
State,Delaware,2004,Number,1023
State,Delaware,2005,Percent,0.095
State,Delaware,2005,Number,1106
State,Delaware,2004,Percent,0.09
State,Delaware,2006,Number,1108
State,Delaware,2006,Percent,0.093
State,Delaware,2007,Percent,0.093
State,Delaware,2008,Number,1027
State,Delaware,2013,Percent,0.083
State,Delaware,2007,Number,1130
State,Delaware,2008,Percent,0.085
State,Delaware,2013,Number,900
State,Delaware,2018,Number,948
State,Delaware,2018,Percent,0.089
State,Delaware,2009,Percent,0.086
State,Delaware,2009,Number,994
State,Delaware,2010,Number,1016
State,Delaware,2015,Percent,0.093
State,Delaware,2010,Percent,0.089
State,Delaware,2015,Number,1036
State,Delaware,2020,Number,928
State,Delaware,2020,Percent,0.089
State,Delaware,2011,Percent,0.084
State,Delaware,2012,Number,913
State,Delaware,2011,Number,942
State,Delaware,2012,Percent,0.083
State,Delaware,2014,Percent,0.083
State,Delaware,2014,Number,908
State,Delaware,2016,Number,982
State,Delaware,2017,Percent,0.09
State,Delaware,2016,Percent,0.089
State,Delaware,2019,Number,995
State,Delaware,2017,Number,981
State,Delaware,2021,Number,952
State,Delaware,2021,Percent,0.091
State,Delaware,2019,Percent,0.094
City,District of Columbia,2021,Percent,0.096
City,District of Columbia,2019,Percent,0.099
City,District of Columbia,2017,Number,1001
City,District of Columbia,2019,Number,896
City,District of Columbia,2021,Number,829
City,District of Columbia,2016,Percent,0.101
City,District of Columbia,2017,Percent,0.105
City,District of Columbia,2016,Number,998
City,District of Columbia,2014,Number,934
City,District of Columbia,2014,Percent,0.098
City,District of Columbia,2012,Percent,0.096
City,District of Columbia,2011,Number,970
City,District of Columbia,2012,Number,903
City,District of Columbia,2011,Percent,0.104
City,District of Columbia,2020,Percent,0.096
City,District of Columbia,2020,Number,849
City,District of Columbia,2015,Number,959
City,District of Columbia,2015,Percent,0.1
City,District of Columbia,2010,Percent,0.102
City,District of Columbia,2010,Number,934
City,District of Columbia,2009,Number,929
City,District of Columbia,2009,Percent,0.103
City,District of Columbia,2018,Percent,0.1
City,District of Columbia,2013,Number,875
City,District of Columbia,2018,Number,918
City,District of Columbia,2008,Percent,0.105
City,District of Columbia,2013,Percent,0.094
City,District of Columbia,2008,Number,957
City,District of Columbia,2007,Number,982
City,District of Columbia,2007,Percent,0.111
City,District of Columbia,2006,Percent,0.115
City,District of Columbia,2006,Number,980
City,District of Columbia,2004,Percent,0.111
City,District of Columbia,2005,Number,888
City,District of Columbia,2005,Percent,0.112
City,District of Columbia,2004,Number,880
City,District of Columbia,2003,Number,833
City,District of Columbia,2003,Percent,0.109
City,District of Columbia,2001,Number,924
City,District of Columbia,2002,Percent,0.116
City,District of Columbia,2002,Number,866
City,District of Columbia,2001,Percent,0.121
City,District of Columbia,2000,Percent,0.119
City,District of Columbia,2000,Number,908
City,District of Columbia,1998,Percent,0.131
City,District of Columbia,1999,Number,987
City,District of Columbia,1999,Percent,0.131
City,District of Columbia,1998,Number,1003
City,District of Columbia,1997,Number,1064
City,District of Columbia,1997,Percent,0.134
City,District of Columbia,1996,Percent,0.143
City,District of Columbia,1995,Number,1206
City,District of Columbia,1996,Number,1196
City,District of Columbia,1995,Percent,0.134
City,District of Columbia,1994,Percent,0.142
City,District of Columbia,1994,Number,1403
City,District of Columbia,1993,Number,1551
City,District of Columbia,1992,Percent,0.143
City,District of Columbia,1993,Percent,0.146
City,District of Columbia,1992,Number,1556
City,District of Columbia,1991,Number,1805
City,District of Columbia,1991,Percent,0.154
City,District of Columbia,1990,Percent,0.151
City,District of Columbia,1990,Number,1785
State,Florida,1990,Number,14813
State,Florida,1990,Percent,0.074
State,Florida,1991,Percent,0.074
State,Florida,1991,Number,14382
State,Florida,1992,Number,14239
State,Florida,1993,Percent,0.075
State,Florida,1992,Percent,0.074
State,Florida,1993,Number,14468
State,Florida,1994,Number,14753
State,Florida,1994,Percent,0.077
State,Florida,1995,Percent,0.077
State,Florida,1996,Number,14868
State,Florida,1995,Number,14491
State,Florida,1996,Percent,0.079
State,Florida,1997,Percent,0.08
State,Florida,1997,Number,15444
State,Florida,1998,Number,15752
State,Florida,1999,Percent,0.082
State,Florida,1999,Number,16096
State,Florida,1998,Percent,0.081
State,Florida,2000,Number,16255
State,Florida,2000,Percent,0.08
State,Florida,2001,Percent,0.082
State,Florida,2002,Number,17320
State,Florida,2002,Percent,0.084
State,Florida,2001,Number,16776
State,Florida,2003,Percent,0.085
State,Florida,2003,Number,18007
State,Florida,2004,Number,18633
State,Florida,2005,Percent,0.087
State,Florida,2005,Number,19761
State,Florida,2004,Percent,0.085
State,Florida,2006,Number,20614
State,Florida,2006,Percent,0.087
State,Florida,2007,Percent,0.087
State,Florida,2007,Number,20725
State,Florida,2008,Number,20319
State,Florida,2013,Percent,0.085
State,Florida,2008,Percent,0.088
State,Florida,2018,Number,19217
State,Florida,2013,Number,18346
State,Florida,2018,Percent,0.087
State,Florida,2009,Percent,0.087
State,Florida,2009,Number,19247
State,Florida,2010,Number,18681
State,Florida,2010,Percent,0.087
State,Florida,2015,Percent,0.086
State,Florida,2015,Number,19306
State,Florida,2020,Number,18202
State,Florida,2020,Percent,0.087
State,Florida,2011,Percent,0.087
State,Florida,2012,Number,18260
State,Florida,2011,Number,18527
State,Florida,2012,Percent,0.086
State,Florida,2014,Percent,0.087
State,Florida,2014,Number,19065
State,Florida,2016,Number,19589
State,Florida,2017,Percent,0.088
State,Florida,2016,Percent,0.087
State,Florida,2019,Number,19231
State,Florida,2017,Number,19653
State,Florida,2019,Percent,0.087
State,Florida,2021,Percent,0.09
State,Florida,2021,Number,19460
State,Georgia,2021,Number,13140
State,Georgia,2021,Percent,0.106
State,Georgia,2019,Percent,0.1
State,Georgia,2019,Number,12655
State,Georgia,2017,Number,12772
State,Georgia,2016,Percent,0.098
State,Georgia,2017,Percent,0.099
State,Georgia,2016,Number,12704
State,Georgia,2014,Number,12385
State,Georgia,2014,Percent,0.095
State,Georgia,2012,Percent,0.093
State,Georgia,2011,Number,12333
State,Georgia,2012,Number,12014
State,Georgia,2011,Percent,0.094
State,Georgia,2020,Percent,0.099
State,Georgia,2015,Number,12464
State,Georgia,2020,Number,12072
State,Georgia,2015,Percent,0.095
State,Georgia,2010,Percent,0.097
State,Georgia,2009,Number,13190
State,Georgia,2010,Number,12912
State,Georgia,2009,Percent,0.094
State,Georgia,2018,Percent,0.101
State,Georgia,2013,Number,12064
State,Georgia,2018,Number,12733
State,Georgia,2008,Percent,0.096
State,Georgia,2013,Percent,0.095
State,Georgia,2008,Number,13975
State,Georgia,2007,Number,14357
State,Georgia,2007,Percent,0.095
State,Georgia,2006,Percent,0.096
State,Georgia,2006,Number,14232
State,Georgia,2004,Percent,0.093
State,Georgia,2005,Number,13498
State,Georgia,2005,Percent,0.095
State,Georgia,2004,Number,12930
State,Georgia,2003,Number,12205
State,Georgia,2003,Percent,0.09
State,Georgia,2001,Number,11750
State,Georgia,2002,Percent,0.089
State,Georgia,2002,Number,11915
State,Georgia,2001,Percent,0.088
State,Georgia,2000,Percent,0.086
State,Georgia,2000,Number,11455
State,Georgia,1998,Percent,0.085
State,Georgia,1999,Number,11027
State,Georgia,1999,Percent,0.087
State,Georgia,1998,Number,10458
State,Georgia,1997,Number,10390
State,Georgia,1997,Percent,0.088
State,Georgia,1996,Percent,0.085
State,Georgia,1995,Number,9835
State,Georgia,1996,Number,9729
State,Georgia,1995,Percent,0.088
State,Georgia,1994,Percent,0.086
State,Georgia,1994,Number,9557
State,Georgia,1993,Number,9653
State,Georgia,1992,Percent,0.085
State,Georgia,1993,Percent,0.087
State,Georgia,1992,Number,9490
State,Georgia,1991,Number,9460
State,Georgia,1991,Percent,0.086
State,Georgia,1990,Percent,0.087
State,Georgia,1990,Number,9747
State,Hawaii,1990,Number,1445
State,Hawaii,1990,Percent,0.071
State,Hawaii,1991,Percent,0.068
State,Hawaii,1991,Number,1353
State,Hawaii,1992,Number,1430
State,Hawaii,1993,Percent,0.068
State,Hawaii,1992,Percent,0.072
State,Hawaii,1993,Number,1335
State,Hawaii,1994,Number,1369
State,Hawaii,1994,Percent,0.072
State,Hawaii,1995,Percent,0.07
State,Hawaii,1996,Number,1330
State,Hawaii,1995,Number,1298
State,Hawaii,1996,Percent,0.073
State,Hawaii,1997,Percent,0.072
State,Hawaii,1997,Number,1235
State,Hawaii,1998,Number,1284
State,Hawaii,1999,Percent,0.076
State,Hawaii,1999,Number,1280
State,Hawaii,1998,Percent,0.075
State,Hawaii,2000,Number,1308
State,Hawaii,2000,Percent,0.075
State,Hawaii,2001,Percent,0.081
State,Hawaii,2002,Number,1450
State,Hawaii,2002,Percent,0.083
State,Hawaii,2001,Number,1385
State,Hawaii,2003,Percent,0.086
State,Hawaii,2003,Number,1554
State,Hawaii,2004,Number,1442
State,Hawaii,2005,Percent,0.082
State,Hawaii,2005,Number,1468
State,Hawaii,2004,Percent,0.079
State,Hawaii,2006,Number,1531
State,Hawaii,2006,Percent,0.081
State,Hawaii,2007,Percent,0.08
State,Hawaii,2007,Number,1526
State,Hawaii,2008,Number,1574
State,Hawaii,2013,Percent,0.082
State,Hawaii,2008,Percent,0.081
State,Hawaii,2018,Number,1416
State,Hawaii,2013,Number,1562
State,Hawaii,2018,Percent,0.083
State,Hawaii,2009,Percent,0.084
State,Hawaii,2010,Number,1584
State,Hawaii,2009,Number,1592
State,Hawaii,2010,Percent,0.083
State,Hawaii,2015,Percent,0.083
State,Hawaii,2015,Number,1531
State,Hawaii,2020,Number,1281
State,Hawaii,2020,Percent,0.081
State,Hawaii,2011,Percent,0.082
State,Hawaii,2011,Number,1557
State,Hawaii,2012,Number,1542
State,Hawaii,2012,Percent,0.081
State,Hawaii,2014,Percent,0.079
State,Hawaii,2014,Number,1462
State,Hawaii,2016,Number,1537
State,Hawaii,2017,Percent,0.085
State,Hawaii,2016,Percent,0.085
State,Hawaii,2017,Number,1491
State,Hawaii,2019,Number,1410
State,Hawaii,2019,Percent,0.084
State,Hawaii,2021,Percent,0.088
State,Hawaii,2021,Number,1381
State,Idaho,2021,Number,1494
State,Idaho,2021,Percent,0.067
State,Idaho,2019,Percent,0.069
State,Idaho,2019,Number,1519
State,Idaho,2017,Number,1545
State,Idaho,2016,Percent,0.07
State,Idaho,2017,Percent,0.07
State,Idaho,2014,Number,1471
State,Idaho,2016,Number,1563
State,Idaho,2014,Percent,0.064
State,Idaho,2012,Percent,0.064
State,Idaho,2011,Number,1352
State,Idaho,2012,Number,1477
State,Idaho,2011,Percent,0.061
State,Idaho,2020,Percent,0.069
State,Idaho,2020,Number,1478
State,Idaho,2015,Number,1501
State,Idaho,2010,Percent,0.068
State,Idaho,2015,Percent,0.066
State,Idaho,2010,Number,1573
State,Idaho,2009,Number,1541
State,Idaho,2009,Percent,0.065
State,Idaho,2018,Percent,0.073
State,Idaho,2013,Number,1545
State,Idaho,2018,Number,1553
State,Idaho,2008,Percent,0.065
State,Idaho,2013,Percent,0.069
State,Idaho,2008,Number,1637
State,Idaho,2007,Number,1631
State,Idaho,2007,Percent,0.065
State,Idaho,2006,Percent,0.069
State,Idaho,2006,Number,1671
State,Idaho,2005,Number,1538
State,Idaho,2005,Percent,0.067
State,Idaho,2004,Percent,0.068
State,Idaho,2004,Number,1529
State,Idaho,2003,Number,1413
State,Idaho,2003,Percent,0.065
State,Idaho,2001,Number,1326
State,Idaho,2002,Percent,0.061
State,Idaho,2002,Number,1284
State,Idaho,2001,Percent,0.064
State,Idaho,2000,Percent,0.067
State,Idaho,2000,Number,1362
State,Idaho,1998,Percent,0.06
State,Idaho,1999,Number,1226
State,Idaho,1999,Percent,0.062
State,Idaho,1998,Number,1164
State,Idaho,1997,Number,1165
State,Idaho,1997,Percent,0.063
State,Idaho,1995,Number,1066
State,Idaho,1996,Percent,0.058
State,Idaho,1996,Number,1071
