fips,ebllcases
42003443000,0
42003444000,0
42003445500,7
42003446000,0
42003447000,0
42003448000,0
42003449000,0
42003450700,4
42003450800,9
42003451101,1
42003451102,5
42003451103,0
42003451300,2
42003452000,0
42003453001,3
42003453002,2
42003454000,0
42003455000,1
42003456001,1
42003456003,0
42003456004,2
42003457100,0
42003457200,1
42003458000,0
42003459101,2
42003459102,2
42003459201,1
42003459202,1
42003460001,1
42003460002,2
42003461000,0
42003462100,10
42003462600,10
42003463900,12
42003464300,10
42003464400,26
42003465600,8
42003465800,16
42003466000,0
42003467000,1
42003468700,3
42003468800,1
42003468900,16
42003469000,2
42003470300,1
42003470400,1
42003470500,4
42003470600,5
42003471000,3
42003472100,4
42003472200,6
42003472300,4
42003472400,2
42003473100,2
42003473200,2
42003473300,2
42003473401,1
42003473402,0
42003473500,0
42003473601,0
42003473602,1
42003474101,4
42003474102,0
42003474201,1
42003474202,0
42003474203,0
42003475101,2
42003475102,0
42003475200,1
42003475301,2
42003475303,0
42003475304,1
42003475401,0
42003475402,2
42003476100,1
42003476200,3
42003477100,4
42003477200,0
42003477300,1
42003478100,2
42003478200,8
42003479000,0
42003480101,5
42003480102,7
42003480200,0
42003480300,0
42003480300,1
42003480400,4
42003481000,32
42003482500,13
42003483800,47
42003484300,28
42003484500,3
42003484600,6
42003485000,3
42003486700,33
42003486800,44
42003486900,42
42003487000,3
42003488100,13
42003488200,13
42003488300,1
42003488400,4
42003488500,8
42003488600,4
42003489001,2
42003489002,6
42003490002,2
42003490003,2
42003490004,6
42003491101,0
42003491102,0
42003491200,0
42003492700,15
42003492800,25
42003492900,6
42003493000,0
42003494000,6
42003495000,0
42003496101,0
42003496102,2
42003496200,1
42003497000,0
42003498000,1
42003499300,4
42003499400,12
42003500300,7
42003501000,1
42003502000,2
42003503001,0
42003503002,4
42003504100,18
42003504400,3
42003505000,0
42003506000,1
42003507000,8
42003508000,17
42003509400,23
42003510000,22
42003511000,0
42003512000,11
42003512800,51
42003512900,46
42003513800,111
42003514000,48
42003515100,20
42003515200,2
42003515300,18
42003515400,6
42003515500,0
42003516100,3
42003516200,5
42003517000,3
42003518001,5
42003518002,3
42003519000,2
42003520001,2
42003520002,4
42003521100,3
42003521200,6
42003521301,6
42003521302,9
42003521401,3
42003521402,1
42003521500,2
42003522000,20
42003523100,45
42003523200,17
42003523300,2
42003523400,4
42003523501,2
42003523502,4
42003523600,8
42003523701,2
42003523702,5
42003523800,2
42003524000,9
42003525100,1
42003525200,0
42003525300,6
42003526101,2
42003526102,2
42003526201,2
42003526202,2
42003526301,2
42003526302,3
42003550900,80
42003551200,51
42003551300,6
42003551900,22
42003552000,41
42003552100,20
42003552200,56
42003552300,150
42003552400,16
42003560400,54
42003560500,25
42003560600,90
42003561000,119
42003561100,54
42003561200,50
42003561400,31
42003561500,45
