State	Year	Deaths	Population	suigunrate	adjsuigunrate
Arizona	2019	809	7278717	11.1	10.4
Arizona	2020	831	7421401	11.2	10.4
Arkansas	1999	236	2651860	8.9	8.8
Arkansas	2000	245	2673400	9.2	9
Arkansas	2001	275	2691571	10.2	10.1
Arkansas	2002	260	2705927	9.6	9.6
Arkansas	2003	258	2724816	9.5	9.3
Arkansas	2004	232	2749686	8.4	8.3
Arkansas	2005	262	2781097	9.4	9.3
Arkansas	2006	247	2821761	8.8	8.7
Arkansas	2007	245	2848650	8.6	8.5
Arkansas	2008	275	2874554	9.6	9.4
Arkansas	2009	286	2896843	9.9	9.7
Arkansas	2010	266	2915918	9.1	9
Arkansas	2011	299	2937979	10.2	10.2
Arkansas	2012	307	2949131	10.4	10.1
Arkansas	2013	323	2959373	10.9	10.6
Arkansas	2014	323	2966369	10.9	10.4
Arkansas	2015	343	2978204	11.5	10.9
Arkansas	2016	331	2988248	11.1	10.4
Arkansas	2017	392	3004279	13	12.5
Arkansas	2018	345	3013825	11.4	11
Arkansas	2019	341	3017804	11.3	10.8
Arkansas	2020	364	3030522	12	11.5
California	1999	1534	33499204	4.6	4.9
California	2000	1487	33871648	4.4	4.6
California	2001	1451	34479458	4.2	4.5
California	2002	1494	34871843	4.3	4.5
California	2003	1506	35253159	4.3	4.5
California	2004	1366	35574576	3.8	4
California	2005	1330	35827943	3.7	3.8
California	2006	1322	36021202	3.7	3.7
California	2007	1422	36250311	3.9	4
California	2008	1478	36604337	4	4.1
California	2009	1520	36961229	4.1	4.1
California	2010	1497	37253956	4	4
California	2011	1566	37691912	4.2	4.1
California	2012	1550	38041430	4.1	4
California	2013	1572	38332521	4.1	4
California	2014	1586	38802500	4.1	3.9
California	2015	1561	39144818	4	3.8
California	2016	1596	39250017	4.1	3.9
California	2017	1611	39536653	4.1	3.8
California	2018	1629	39557045	4.1	3.9
California	2019	1588	39512223	4	3.7
California	2020	1552	39368078	3.9	3.6
Colorado	1999	316	4226018	7.5	7.7
Colorado	2000	354	4301261	8.2	8.4
Colorado	2001	391	4425687	8.8	9.1
Colorado	2002	381	4490406	8.5	8.6
Colorado	2003	363	4528732	8	8.2
Colorado	2004	402	4575013	8.8	8.8
Colorado	2005	396	4631888	8.5	8.7
Colorado	2006	373	4720423	7.9	7.9
Colorado	2007	397	4803868	8.3	8.2
Colorado	2008	388	4889730	7.9	7.9
Colorado	2009	454	4972195	9.1	9
Colorado	2010	427	5029196	8.5	8.3
Colorado	2011	443	5116796	8.7	8.4
Colorado	2012	533	5187582	10.3	9.9
Colorado	2013	489	5268367	9.3	9
Colorado	2014	539	5355866	10.1	9.9
Colorado	2015	541	5456574	9.9	9.7
Colorado	2016	613	5540545	11.1	10.7
Colorado	2017	594	5607154	10.6	10.1
Colorado	2018	660	5695564	11.6	11.1
Colorado	2019	647	5758736	11.2	10.7
Colorado	2020	654	5807719	11.3	10.8
Connecticut	1999	111	3386401	3.3	3.2
Connecticut	2000	115	3405565	3.4	3.3
Connecticut	2001	115	3432835	3.4	3.2
Connecticut	2002	85	3458749	2.5	2.4
Connecticut	2003	89	3484336	2.6	2.4
Connecticut	2004	106	3496094	3	2.9
Connecticut	2005	112	3506956	3.2	3
Connecticut	2006	79	3517460	2.2	2.1
Connecticut	2007	78	3527270	2.2	2
Connecticut	2008	109	3545579	3.1	2.8
Connecticut	2009	93	3561807	2.6	2.5
Connecticut	2010	111	3574097	3.1	2.9
Connecticut	2011	111	3580709	3.1	2.8
Connecticut	2012	111	3590347	3.1	2.9
Connecticut	2013	92	3596080	2.6	2.4
Connecticut	2014	125	3596677	3.5	3.1
Connecticut	2015	104	3590886	2.9	2.7
Connecticut	2016	111	3576452	3.1	2.8
Connecticut	2017	109	3588184	3	2.7
Connecticut	2018	127	3572665	3.6	3.1
Connecticut	2019	118	3565287	3.3	3.1
Connecticut	2020	109	3557006	3.1	2.7
Delaware	1999	44	774990	5.7	5.6
Delaware	2000	40	783600	5.1	5.1
Delaware	2001	53	795699	6.7	6.6
Delaware	2002	38	806169	4.7	4.6
Delaware	2003	42	818003	5.1	5.1
Delaware	2004	45	830803	5.4	5.2
Delaware	2005	42	845150	5	4.9
Delaware	2006	42	859268	4.9	4.7
Delaware	2007	46	871749	5.3	5
Delaware	2008	41	883874	4.6	4.4
Delaware	2009	38	891730	4.3	4.3
Delaware	2010	43	897934	4.8	4.7
Delaware	2011	46	907135	5.1	4.8
Delaware	2012	46	917092	5	4.8
Delaware	2013	61	925749	6.6	6
Delaware	2014	59	935614	6.3	6
Delaware	2015	55	945934	5.8	5.5
Delaware	2016	65	952065	6.8	5.8
Delaware	2017	50	961939	5.2	4.9
Delaware	2018	58	967171	6	5.7
Delaware	2019	45	973764	4.6	4.4
Delaware	2020	58	986809	5.9	5.6
District of Columbia	1999	13	570213	Unreliable	Unreliable
District of Columbia	2001	21	574504	3.7	3.3
District of Columbia	2002	13	573158	Unreliable	Unreliable
District of Columbia	2003	10	568502	Unreliable	Unreliable
District of Columbia	2005	10	567136	Unreliable	Unreliable
District of Columbia	2006	10	570681	Unreliable	Unreliable
District of Columbia	2007	11	574404	Unreliable	Unreliable
District of Columbia	2008	12	580236	Unreliable	Unreliable
District of Columbia	2010	13	601723	Unreliable	Unreliable
District of Columbia	2012	10	632323	Unreliable	Unreliable
District of Columbia	2014	14	658893	Unreliable	Unreliable
District of Columbia	2015	11	672228	Unreliable	Unreliable
District of Columbia	2019	12	705749	Unreliable	Unreliable
Florida	1999	1138	15759421	7.2	6.7
Florida	2000	1189	15982378	7.4	6.9
Florida	2001	1197	16356966	7.3	6.7
Florida	2002	1206	16689370	7.2	6.7
Florida	2003	1244	17004085	7.3	6.8
Florida	2004	1198	17415318	6.9	6.4
Florida	2005	1163	17842038	6.5	6
Florida	2006	1228	18166990	6.8	6.1
Florida	2007	1284	18367842	7	6.4
Florida	2008	1398	18527305	7.5	6.9
Florida	2009	1473	18652644	7.9	7.1
Florida	2010	1454	18801310	7.7	6.9
Florida	2011	1490	19057542	7.8	7
Florida	2012	1550	19317568	8	7.1
Florida	2013	1571	19552860	8	7.2
Florida	2014	1539	19893297	7.7	6.8
Florida	2015	1632	20271272	8.1	7.1
Florida	2016	1673	20612439	8.1	7.1
Florida	2017	1726	20984400	8.2	7.2
Florida	2018	1872	21299325	8.8	7.6
Florida	2019	1808	21477737	8.4	7.3
Florida	2020	1732	21733312	8	6.9
Georgia	1999	630	8045965	7.8	8.1
Georgia	2000	594	8186453	7.3	7.6
Georgia	2001	629	8377038	7.5	7.8
Georgia	2002	615	8508256	7.2	7.6
Georgia	2003	658	8622793	7.6	8
Georgia	2004	607	8769252	6.9	7.2
Georgia	2005	590	8925922	6.6	6.9
Georgia	2006	602	9155813	6.6	6.8
Georgia	2007	641	9349988	6.9	7.1
Georgia	2008	616	9504843	6.5	6.6
Georgia	2009	743	9620846	7.7	7.9
Georgia	2010	718	9687653	7.4	7.5
Georgia	2011	742	9815210	7.6	7.5
Georgia	2012	751	9919945	7.6	7.5
Georgia	2013	747	9992167	7.5	7.4
Georgia	2014	842	10097343	8.3	8.2
Georgia	2015	824	10214860	8.1	8
Georgia	2016	871	10310371	8.4	8.1
Georgia	2017	910	10429379	8.7	8.5
Georgia	2018	990	10519475	9.4	9.1
Georgia	2019	956	10617423	9	8.7
Georgia	2020	939	10710017	8.8	8.5
Hawaii	1999	24	1210300	2	2
Hawaii	2000	37	1211537	3.1	3
Hawaii	2001	31	1225948	2.5	2.5
Hawaii	2002	21	1239613	1.7	1.6
Hawaii	2003	24	1251154	1.9	1.8
Hawaii	2004	31	1273569	2.4	2.3
Hawaii	2005	22	1292729	1.7	1.6
Hawaii	2006	21	1309731	1.6	1.5
Hawaii	2007	27	1315675	2.1	1.8
Hawaii	2008	28	1332213	2.1	2
Hawaii	2009	36	1346717	2.7	2.6
Hawaii	2010	37	1360301	2.7	2.6
Hawaii	2011	42	1374810	3.1	2.9
Hawaii	2012	43	1392313	3.1	2.8
Hawaii	2013	28	1404054	2	1.9
Hawaii	2014	33	1419561	2.3	2.1
Hawaii	2015	44	1431603	3.1	2.8
Hawaii	2016	37	1428557	2.6	2.4
Hawaii	2017	30	1427538	2.1	1.8
Hawaii	2018	30	1420491	2.1	1.9
Hawaii	2019	41	1415872	2.9	2.8
Hawaii	2020	31	1407006	2.2	2.1
Idaho	1999	127	1275674	10	10.4
Idaho	2000	107	1293953	8.3	8.7
Idaho	2001	138	1319962	10.5	10.8
Idaho	2002	138	1340372	10.3	10.6
Idaho	2003	137	1363380	10	10.4
Idaho	2004	152	1391802	10.9	11.2
Idaho	2005	160	1428241	11.2	11.6
Idaho	2006	145	1468669	9.9	10.3
Idaho	2007	147	1505105	9.8	10
Idaho	2008	149	1534320	9.7	9.8
Idaho	2009	176	1554439	11.3	11.6
Idaho	2010	182	1567582	11.6	11.7
Idaho	2011	167	1584985	10.5	10.7
Idaho	2012	176	1595728	11	11.1
Idaho	2013	200	1612136	12.4	12.4
Idaho	2014	182	1634464	11.1	11.1
Idaho	2015	215	1654930	13	12.8
Idaho	2016	215	1683140	12.8	12.8
Idaho	2017	245	1716943	14.3	14.2
Idaho	2018	250	1754208	14.3	14
Idaho	2019	223	1787065	12.5	12.2
Idaho	2020	277	1826913	15.2	15.1
Illinois	1999	481	12359020	3.9	3.9
Illinois	2000	433	12419293	3.5	3.5
Illinois	2001	507	12488445	4.1	4.1
Illinois	2002	471	12525556	3.8	3.8
Illinois	2003	406	12556006	3.2	3.2
Illinois	2004	387	12589773	3.1	3
Illinois	2005	425	12609903	3.4	3.4
Illinois	2006	374	12643955	3	2.9
Illinois	2007	423	12695866	3.3	3.3
Illinois	2008	440	12747038	3.5	3.4
Illinois	2009	402	12796778	3.1	3
Illinois	2010	442	12830632	3.4	3.3
Illinois	2011	461	12869257	3.6	3.5
Illinois	2012	491	12875255	3.8	3.7
Illinois	2013	497	12882135	3.9	3.7
Illinois	2014	534	12880580	4.1	4
Illinois	2015	495	12859995	3.8	3.7
Illinois	2016	506	12801539	4	3.7
Illinois	2017	578	12802023	4.5	4.3
Illinois	2018	574	12741080	4.5	4.2
Illinois	2019	541	12671821	4.3	4
Illinois	2020	544	12587530	4.3	4.1
Indiana	1999	372	6044969	6.2	6.2
Indiana	2000	420	6080485	6.9	7
Indiana	2001	417	6127760	6.8	6.8
Indiana	2002	449	6155967	7.3	7.3
Indiana	2003	425	6196638	6.9	6.9
Indiana	2004	385	6233007	6.2	6.2
Indiana	2005	417	6278616	6.6	6.6
Indiana	2006	443	6332669	7	6.9
Indiana	2007	392	6379599	6.1	6.1
Indiana	2008	451	6424806	7	6.9
Indiana	2009	458	6459325	7.1	6.9
Indiana	2010	455	6483802	7	6.8
Indiana	2011	413	6516922	6.3	6.2
Indiana	2012	516	6537334	7.9	7.7
Indiana	2013	523	6570902	8	7.8
Indiana	2014	528	6596855	8	7.8
Indiana	2015	518	6619680	7.8	7.6
Indiana	2016	591	6633053	8.9	8.5
Indiana	2017	609	6666818	9.1	8.8
Indiana	2018	589	6691878	8.8	8.5
Indiana	2019	571	6732219	8.5	8.1
Indiana	2020	610	6754953	9	8.7
Iowa	1999	169	2917634	5.8	5.6
Iowa	2000	161	2926324	5.5	5.4
Iowa	2001	158	2931997	5.4	5.2
Iowa	2002	158	2934234	5.4	5.3
Iowa	2003	178	2941999	6.1	5.9
Iowa	2004	156	2953635	5.3	5.1
Iowa	2005	172	2964454	5.8	5.7
Iowa	2006	149	2982644	5	4.8
Iowa	2007	133	2999212	4.4	4.1
Iowa	2008	180	3016734	6	5.8
Iowa	2009	160	3032870	5.3	5.1
Iowa	2010	178	3046355	5.8	5.7
Iowa	2011	185	3062309	6	5.9
Iowa	2012	175	3074186	5.7	5.7
Iowa	2013	221	3090416	7.2	6.9
Iowa	2014	194	3107126	6.2	6
Iowa	2015	194	3123899	6.2	5.9
Iowa	2016	229	3134693	7.3	7.2
Iowa	2017	223	3145711	7.1	6.6
Iowa	2018	231	3156145	7.3	6.9
Iowa	2019	233	3155070	7.4	7
Iowa	2020	261	3163561	8.3	8.1
Kansas	1999	169	2678338	6.3	6.3
Kansas	2000	186	2688418	6.9	7
Kansas	2001	161	2702162	6	6
Kansas	2002	185	2713535	6.8	6.7
Kansas	2003	211	2723004	7.7	7.7
Kansas	2004	204	2734373	7.5	7.5
Kansas	2005	188	2745299	6.8	6.8
Kansas	2006	211	2762931	7.6	7.7
Kansas	2007	213	2783785	7.7	7.5
Kansas	2008	185	2808076	6.6	6.5
Kansas	2009	200	2832704	7.1	7.1
Kansas	2010	210	2853118	7.4	7.3
Kansas	2011	233	2871238	8.1	8
Kansas	2012	297	2885905	10.3	10.2
Kansas	2013	241	2893957	8.3	8.2
Kansas	2014	238	2904021	8.2	8.2
Kansas	2015	225	2911641	7.7	7.6
Kansas	2016	258	2907289	8.9	8.8
Kansas	2017	316	2913123	10.8	10.7
Kansas	2018	292	2911505	10	9.9
Kansas	2019	293	2913314	10.1	9.9
Kansas	2020	314	2913805	10.8	10.4
Kentucky	1999	337	4018053	8.4	8.4
Kentucky	2000	374	4041769	9.3	9.2
Kentucky	2001	332	4068132	8.2	8
Kentucky	2002	364	4089875	8.9	8.8
Kentucky	2003	402	4117170	9.8	9.6
Kentucky	2004	379	4146101	9.1	9
Kentucky	2005	373	4182742	8.9	8.7
Kentucky	2006	385	4219239	9.1	9
Kentucky	2007	424	4256672	10	9.8
Kentucky	2008	394	4289878	9.2	8.9
Kentucky	2009	405	4317074	9.4	9.1
Kentucky	2010	404	4339367	9.3	8.9
Kentucky	2011	454	4369356	10.4	10.1
Kentucky	2012	469	4380415	10.7	10.3
Kentucky	2013	454	4395295	10.3	9.8
Kentucky	2014	471	4413457	10.7	10.1
Kentucky	2015	500	4425092	11.3	10.7
Kentucky	2016	495	4436974	11.2	10.8
Kentucky	2017	474	4454189	10.6	10.1
Kentucky	2018	510	4468402	11.4	10.9
Kentucky	2019	445	4467673	10	9.3
Kentucky	2020	520	4477251	11.6	11.1
Louisiana	1999	389	4460811	8.7	8.9
Louisiana	2000	328	4468976	7.3	7.5
Louisiana	2001	353	4477875	7.9	8
Louisiana	2002	351	4497267	7.8	7.9
Louisiana	2003	316	4521042	7	7
Louisiana	2004	371	4552238	8.1	8.2
Louisiana	2005	349	4576628	7.6	7.6
Louisiana	2006	331	4302665	7.7	7.7
Louisiana	2007	335	4375581	7.7	7.6
Louisiana	2008	351	4435586	7.9	7.8
Louisiana	2009	328	4491648	7.3	7.2
Louisiana	2010	385	4533372	8.5	8.6
Louisiana	2011	380	4574836	8.3	8.3
Louisiana	2012	376	4601893	8.2	8.2
Louisiana	2013	408	4625470	8.8	8.7
Louisiana	2014	444	4649676	9.5	9.2
Louisiana	2015	469	4670724	10	9.8
Louisiana	2016	440	4681666	9.4	9.1
Louisiana	2017	445	4684333	9.5	9.2
Louisiana	2018	467	4659978	10	9.7
Louisiana	2019	449	4648794	9.7	9.3
Louisiana	2020	407	4645318	8.8	8.5
Maine	1999	92	1266808	7.3	7
Maine	2000	98	1274923	7.7	7.4
Maine	2001	87	1285692	6.8	6.4
Maine	2002	79	1295960	6.1	5.8
Maine	2003	71	1306513	5.4	5.2
Maine	2004	97	1313688	7.4	7
Maine	2005	100	1318787	7.6	7.1
Maine	2006	87	1323619	6.6	5.9
Maine	2007	90	1327040	6.8	6.3
Maine	2008	103	1330509	7.7	7
Maine	2009	106	1329590	8	7.5
Maine	2010	95	1328361	7.2	6.5
Maine	2011	114	1328188	8.6	7.7
Maine	2012	113	1329192	8.5	7.6
Maine	2013	137	1328302	10.3	9.5
Maine	2014	118	1330089	8.9	8.1
Maine	2015	128	1329328	9.6	8.6
Maine	2016	112	1331479	8.4	7.5
Maine	2017	151	1335907	11.3	10.1
Maine	2018	147	1338404	11	9.5
Maine	2019	144	1344212	10.7	9.8
Maine	2020	132	1350141	9.8	8.8
Maryland	1999	242	5254509	4.6	4.7
Maryland	2000	246	5296486	4.6	4.7
Maryland	2001	221	5374691	4.1	4.1
Maryland	2002	233	5440389	4.3	4.3
Maryland	2003	239	5496269	4.3	4.4
Maryland	2004	250	5546935	4.5	4.4
Maryland	2005	220	5592379	3.9	3.9
Maryland	2006	238	5627367	4.2	4.1
Maryland	2007	233	5653408	4.1	4
Maryland	2008	263	5684965	4.6	4.5
Maryland	2009	252	5730388	4.4	4.2
Maryland	2010	222	5773552	3.8	3.7
Maryland	2011	242	5828289	4.2	4
Maryland	2012	272	5884563	4.6	4.3
Maryland	2013	258	5928814	4.4	4.1
Maryland	2014	278	5976407	4.7	4.4
Maryland	2015	244	6006401	4.1	3.8
Maryland	2016	251	6016447	4.2	3.9
Maryland	2017	271	6052177	4.5	4.1
Maryland	2018	266	6042718	4.4	4.1
Maryland	2019	268	6045680	4.4	4.1
Maryland	2020	267	6055802	4.4	4.1
Massachusetts	1999	118	6317345	1.9	1.8
Massachusetts	2000	105	6349097	1.7	1.6
Massachusetts	2001	107	6397634	1.7	1.6
Massachusetts	2002	99	6417206	1.5	1.5
Massachusetts	2003	122	6422565	1.9	1.8
Massachusetts	2004	95	6412281	1.5	1.4
Massachusetts	2005	111	6403290	1.7	1.6
Massachusetts	2006	101	6410084	1.6	1.5
Massachusetts	2007	114	6431559	1.8	1.7
Massachusetts	2008	118	6468967	1.8	1.7
Massachusetts	2009	89	6517613	1.4	1.3
Massachusetts	2010	138	6547629	2.1	2
Massachusetts	2011	116	6587536	1.8	1.7
Massachusetts	2012	151	6646144	2.3	2.1
Massachusetts	2013	112	6692824	1.7	1.6
Massachusetts	2014	130	6745408	1.9	1.7
Massachusetts	2015	118	6794422	1.7	1.6
Massachusetts	2016	140	6811779	2.1	1.9
Massachusetts	2017	152	6859819	2.2	2
Massachusetts	2018	148	6902149	2.1	1.9
Massachusetts	2019	142	6892503	2.1	1.9
Massachusetts	2020	134	6893574	1.9	1.8
Michigan	1999	550	9897116	5.6	5.6
Michigan	2000	538	9938444	5.4	5.5
Michigan	2001	547	9991120	5.5	5.5
Michigan	2002	582	10015710	5.8	5.8
Michigan	2003	529	10041152	5.3	5.2
Michigan	2004	534	10055315	5.3	5.3
Michigan	2005	554	10051137	5.5	5.5
Michigan	2006	598	10036081	6	5.8
Michigan	2007	560	10001284	5.6	5.5
Michigan	2008	570	9946889	5.7	5.6
Michigan	2009	575	9901591	5.8	5.6
Michigan	2010	601	9883640	6.1	5.9
Michigan	2011	620	9876187	6.3	6.1
Michigan	2012	623	9883360	6.3	6
Michigan	2013	674	9895622	6.8	6.5
Michigan	2014	672	9909877	6.8	6.5
Michigan	2015	692	9922576	7	6.5
Michigan	2016	717	9928300	7.2	6.8
Michigan	2017	682	9962311	6.8	6.4
Michigan	2018	807	9995915	8.1	7.5
Michigan	2019	743	9986857	7.4	7
Michigan	2020	761	9966555	7.6	7.1
Minnesota	1999	233	4873481	4.8	4.8
Minnesota	2000	226	4919479	4.6	4.6
Minnesota	2001	243	4982796	4.9	4.9
Minnesota	2002	239	5018935	4.8	4.7
Minnesota	2003	244	5053572	4.8	4.8
Minnesota	2004	268	5087713	5.3	5.2
Minnesota	2005	256	5119598	5	4.9
Minnesota	2006	244	5163555	4.7	4.7
Minnesota	2007	265	5207203	5.1	5
Minnesota	2008	290	5247018	5.5	5.4
Minnesota	2009	282	5281203	5.3	5.2
Minnesota	2010	281	5303925	5.3	5.2
Minnesota	2011	324	5344861	6.1	5.9
Minnesota	2012	311	5379139	5.8	5.6
Minnesota	2013	340	5420380	6.3	6
Minnesota	2014	309	5457173	5.7	5.4
Minnesota	2015	304	5489594	5.5	5.4
Minnesota	2016	332	5519952	6	5.7
Minnesota	2017	366	5576606	6.6	6.3
Minnesota	2018	356	5611179	6.3	6.3
Minnesota	2019	350	5639632	6.2	6
Minnesota	2020	354	5657342	6.3	6
Mississippi	1999	246	2828408	8.7	8.9
Mississippi	2000	225	2844658	7.9	8
Mississippi	2001	242	2852994	8.5	8.7
Mississippi	2002	254	2858681	8.9	9
Mississippi	2003	247	2868312	8.6	8.8
Mississippi	2004	248	2889010	8.6	8.6
Mississippi	2005	253	2905943	8.7	8.8
Mississippi	2006	219	2904978	7.5	7.6
Mississippi	2007	279	2928350	9.5	9.5
Mississippi	2008	287	2947806	9.7	9.7
Mississippi	2009	269	2958774	9.1	9.2
Mississippi	2010	257	2967297	8.7	8.6
Mississippi	2011	268	2978512	9	8.8
Mississippi	2012	296	2984926	9.9	10
Mississippi	2013	279	2991207	9.3	9.3
Mississippi	2014	251	2994079	8.4	8.2
Mississippi	2015	292	2992333	9.8	9.4
Mississippi	2016	268	2988726	9	8.7
Mississippi	2017	295	2984100	9.9	9.5
Mississippi	2018	313	2986530	10.5	9.9
Mississippi	2019	308	2976149	10.3	9.9
Mississippi	2020	279	2966786	9.4	9.4
Missouri	1999	428	5561948	7.7	7.6
Missouri	2000	439	5595211	7.8	7.8
Missouri	2001	432	5641142	7.7	7.6
Missouri	2002	425	5674825	7.5	7.4
Missouri	2003	414	5709403	7.3	7.1
Missouri	2004	395	5747741	6.9	6.8
Missouri	2005	428	5790300	7.4	7.2
Missouri	2006	444	5842704	7.6	7.4
Missouri	2007	453	5887612	7.7	7.5
Missouri	2008	422	5923916	7.1	6.9
Missouri	2009	472	5961088	7.9	7.7
Missouri	2010	491	5988927	8.2	7.9
Missouri	2011	513	6010688	8.5	8.2
Missouri	2012	549	6021988	9.1	8.8
Missouri	2013	557	6044171	9.2	8.8
Missouri	2014	588	6063589	9.7	9.2
Missouri	2015	606	6083672	10	9.6
Missouri	2016	650	6093000	10.7	10.4
Missouri	2017	701	6113532	11.5	10.9
Missouri	2018	727	6126452	11.9	11.2
Missouri	2019	682	6137428	11.1	10.7
Missouri	2020	707	6151548	11.5	11.2
Montana	1999	96	897507	10.7	10.4
Montana	2000	107	902195	11.9	11.8
Montana	2001	133	906961	14.7	14.7
Montana	2002	115	911667	12.6	12.5
Montana	2003	121	919630	13.2	12.8
Montana	2004	105	930009	11.3	10.9
Montana	2005	135	940102	14.4	14.1
Montana	2006	103	952692	10.8	10.5
Montana	2007	120	964706	12.4	11.7
Montana	2008	132	976415	13.5	13.3
Montana	2009	136	983982	13.8	12.7
Montana	2010	143	989415	14.5	13.2
Montana	2011	152	998199	15.2	14.8
Montana	2012	153	1005141	15.2	14.8
Montana	2013	147	1015165	14.5	14
Montana	2014	149	1023579	14.6	13.7
Montana	2015	174	1032949	16.8	15.9
Montana	2016	163	1042520	15.6	15.6
Montana	2017	213	1050493	20.3	19.4
Montana	2018	160	1062305	15.1	14.6
Montana	2019	172	1068778	16.1	15.3
Montana	2020	190	1080577	17.6	15.9
Nebraska	1999	109	1704764	6.4	6.5
Nebraska	2000	115	1711263	6.7	6.7
Nebraska	2001	107	1719836	6.2	6.2
Nebraska	2002	105	1728292	6.1	6
Nebraska	2003	91	1738643	5.2	5.1
Nebraska	2004	87	1749370	5	4.9
Nebraska	2005	101	1761497	5.7	5.7
Nebraska	2006	105	1772693	5.9	5.7
Nebraska	2007	89	1783440	5	4.9
Nebraska	2008	98	1796378	5.5	5.4
Nebraska	2009	93	1812683	5.1	5
Nebraska	2010	108	1826341	5.9	5.7
Nebraska	2011	111	1842641	6	6
Nebraska	2012	115	1855525	6.2	6.2
Nebraska	2013	112	1868516	6	5.9
Nebraska	2014	133	1881503	7.1	7
Nebraska	2015	114	1896190	6	6
Nebraska	2016	116	1907116	6.1	6.1
Nebraska	2017	127	1920076	6.6	6.5
Nebraska	2018	145	1929268	7.5	6.9
Nebraska	2019	154	1934408	8	7.7
Nebraska	2020	139	1937552	7.2	7
Nevada	1999	259	1934718	13.4	14
Nevada	2000	241	1998257	12.1	12.3
Nevada	2001	219	2098399	10.4	10.6
Nevada	2002	246	2173791	11.3	11.4
Nevada	2003	248	2248850	11	11.5
Nevada	2004	249	2346222	10.6	10.8
Nevada	2005	262	2432143	10.8	10.8
Nevada	2006	255	2522658	10.1	10.3
Nevada	2007	270	2601072	10.4	10.4
Nevada	2008	291	2653630	11	10.9
Nevada	2009	295	2684665	11	10.9
Nevada	2010	289	2700551	10.7	10.5
Nevada	2011	272	2723322	10	9.7
Nevada	2012	276	2758931	10	9.7
Nevada	2013	292	2790136	10.5	10.1
Nevada	2014	309	2839099	10.9	10.5
Nevada	2015	293	2890845	10.1	9.5
Nevada	2016	334	2940058	11.4	10.9
Nevada	2017	330	2998039	11	10.5
Nevada	2018	367	3034392	12.1	11.5
Nevada	2019	354	3080156	11.5	10.7
Nevada	2020	372	3138259	11.9	11.1
New Hampshire	1999	64	1222014	5.2	5.3
New Hampshire	2000	71	1235786	5.7	5.7
New Hampshire	2001	79	1255517	6.3	6.3
New Hampshire	2002	66	1269089	5.2	5.1
New Hampshire	2003	75	1279840	5.9	5.7
New Hampshire	2004	57	1290121	4.4	4.1
New Hampshire	2005	79	1298492	6.1	5.9
New Hampshire	2006	69	1308389	5.3	5.1
New Hampshire	2007	71	1312540	5.4	5
New Hampshire	2008	85	1315906	6.5	6.2
